date_lab_plate	Title	Date	Lab	Plate
2023-01-11_Demengeot_plate_1	2023-01-11 plate_1	2023-01-11	Demengeot	plate_1
2023-01-11_Demengeot_plate_2	2023-01-11 plate_2	2023-01-11	Demengeot	plate_2
2023-01-11_Demengeot_plate_3	2023-01-11 plate_3	2023-01-11	Demengeot	plate_3
2023-01-11_Demengeot_plate_4	2023-01-11 plate_4	2023-01-11	Demengeot	plate_4
2023-01-11_Demengeot_plate_5	2023-01-11 plate_5	2023-01-11	Demengeot	plate_5
2023-01-17_Demengeot_plate_1	2023-01-17 plate_1	2023-01-17	Demengeot	plate_1
2023-01-17_Demengeot_plate_2	2023-01-17 plate_2	2023-01-17	Demengeot	plate_2
2023-01-17_Demengeot_plate_3	2023-01-17 plate_3	2023-01-17	Demengeot	plate_3
2023-01-17_Demengeot_plate_4	2023-01-17 plate_4	2023-01-17	Demengeot	plate_4
2023-01-17_Demengeot_plate_5	2023-01-17 plate_5	2023-01-17	Demengeot	plate_5
2023-01-17_Demengeot_plate_6	2023-01-17 plate_6	2023-01-17	Demengeot	plate_6
2023-01-24_Demengeot_plate_1	2023-01-24 plate_1	2023-01-24	Demengeot	plate_1
2023-01-24_Demengeot_plate_2	2023-01-24 plate_2	2023-01-24	Demengeot	plate_2
2023-01-24_Demengeot_plate_3	2023-01-24 plate_3	2023-01-24	Demengeot	plate_3
2023-01-24_Demengeot_plate_4	2023-01-24 plate_4	2023-01-24	Demengeot	plate_4
2023-01-24_Demengeot_plate_5	2023-01-24 plate_5	2023-01-24	Demengeot	plate_5
2023-01-24_Demengeot_plate_6	2023-01-24 plate_6	2023-01-24	Demengeot	plate_6
2023-02-14_Demengeot_plate_1	2023-02-14 plate_1	2023-02-14	Demengeot	plate_1
2023-02-14_Demengeot_plate_2	2023-02-14 plate_2	2023-02-14	Demengeot	plate_2
2023-02-14_Demengeot_plate_3	2023-02-14 plate_3	2023-02-14	Demengeot	plate_3
2023-02-14_Demengeot_plate_4	2023-02-14 plate_4	2023-02-14	Demengeot	plate_4
2023-03-05_Demengeot_plate_1	2023-03-05 plate_1	2023-03-05	Demengeot	plate_1
2023-03-05_Demengeot_plate_2	2023-03-05 plate_2	2023-03-05	Demengeot	plate_2
2023-03-05_Demengeot_plate_3	2023-03-05 plate_3	2023-03-05	Demengeot	plate_3
2023-03-05_Demengeot_plate_4	2023-03-05 plate_4	2023-03-05	Demengeot	plate_4
2023-03-05_Demengeot_plate_5	2023-03-05 plate_5	2023-03-05	Demengeot	plate_5
2023-03-05_Demengeot_plate_6	2023-03-05 plate_6	2023-03-05	Demengeot	plate_6
2023-03-05_Demengeot_plate_7	2023-03-05 plate_7	2023-03-05	Demengeot	plate_7
2023-03-10_Demengeot_plate_1	2023-03-10 plate_1	2023-03-10	Demengeot	plate_1
2023-03-10_Demengeot_plate_2	2023-03-10 plate_2	2023-03-10	Demengeot	plate_2
2023-03-10_Demengeot_plate_3	2023-03-10 plate_3	2023-03-10	Demengeot	plate_3
2023-03-10_Demengeot_plate_4	2023-03-10 plate_4	2023-03-10	Demengeot	plate_4
2023-03-10_Demengeot_plate_5	2023-03-10 plate_5	2023-03-10	Demengeot	plate_5
2023-03-11_Demengeot_plate_1	2023-03-11 plate_1	2023-03-11	Demengeot	plate_1
2023-03-11_Demengeot_plate_2	2023-03-11 plate_2	2023-03-11	Demengeot	plate_2
2023-03-11_Demengeot_plate_3	2023-03-11 plate_3	2023-03-11	Demengeot	plate_3
2023-03-11_Demengeot_plate_4	2023-03-11 plate_4	2023-03-11	Demengeot	plate_4
2023-03-14_Demengeot_plate_1	2023-03-14 plate_1	2023-03-14	Demengeot	plate_1
2023-03-14_Demengeot_plate_2	2023-03-14 plate_2	2023-03-14	Demengeot	plate_2
2023-03-14_Demengeot_plate_3	2023-03-14 plate_3	2023-03-14	Demengeot	plate_3
