"Reference1","Reference2","Control163","Control164","Infected325","Infected326","Infected327","Infected328","dilution"
9.239,9.258,4.41,3.948,8.407,3.948,9.299,3.926,0.120784017224057
9.496,9.188,3.076,3.239,8.897,3.005,9.055,3.008,0.0301960043060142
9.562,8.892,2.676,2.666,8.769,2.433,8.939,2.546,0.00754900107650356
8.617,8.519,2.522,2.374,7.695,2.499,8.563,2.202,0.00188725026912589
7.434,7.995,2.226,2.323,5.814,2.077,7.298,2.41,0.000471812567281473
5.76,6.39,2.066,2.337,4.166,2.366,5.881,2.258,0.000117953141820368
4.314,4.274,2.058,2.081,3.385,2.164,4.234,2.025,2.9488285455092e-05
3.105,3.22,2.167,2.343,2.773,2.047,2.987,2.288,7.37207136377301e-06
2.919,2.641,2.181,2.16,2.422,1.968,2.589,2.148,1.84301784094325e-06
2.427,2.406,2.182,2.048,2.338,2.09,2.301,2.136,4.60754460235813e-07
2.317,2.333,2.163,2.068,2.168,2.393,2.163,2.181,1.15188615058953e-07
2.396,2.106,2.234,2.496,2.172,2.321,2.324,2.229,2.87971537647383e-08
