"Reference1","Reference2","Control035","Control036","Infected069","Infected070","Infected071","Infected072","dilution"
17.872,17.554,6.623,6.018,16.776,17.649,16.122,17.26,0.103531688152986
18.211,17.372,3.515,4.068,16.543,18.365,14.408,17.718,0.0258829220382464
16.967,16.027,2.89,2.681,13.843,17.799,10.435,15.641,0.0064707305095616
15.273,16.119,2.146,2.4,11.724,15.744,7.116,13.237,0.0016176826273904
13.593,13.313,2.123,2.169,8.388,12.283,4.629,9.231,0.0004044206568476
10.856,10.583,2.141,2.146,5.246,10.002,3.075,5.591,0.0001011051642119
6.875,6.891,2.027,2.464,3.484,6.199,2.543,4.032,2.5276291052975e-05
4.379,4.514,2.319,2.107,2.632,4.518,2.299,2.682,6.31907276324375e-06
3.126,2.929,1.966,2.192,2.448,2.879,2.135,2.298,1.57976819081094e-06
2.259,2.601,2.121,2.305,2.151,2.433,2.257,2.278,3.94942047702734e-07
2.13,2.293,2.347,2.359,2.097,2.373,2.207,2.376,9.87355119256836e-08
2.125,2.177,2.367,2.149,2.108,2.2,2.074,2.025,2.46838779814209e-08
