"Reference1","Reference2","Control181","Control182","Infected361","Infected362","Infected363","Infected364","dilution"
7.152,7.143,4.84,4.793,7.037,8.027,7.81,7.534,0.164993985317679
7.814,8.277,3.882,4.342,5.964,7.793,7.983,7.778,0.0412484963294198
8.097,8.201,3.579,3.393,4.902,7.824,7.374,6.772,0.0103121240823549
7.357,7.262,3.457,3.34,4.062,7.385,7.035,6.178,0.00257803102058874
6.787,7.376,3.202,3.313,3.428,6.796,6.468,4.613,0.000644507755147184
6.013,6.128,3.051,3.271,3.353,6.143,6.189,3.748,0.000161126938786796
4.496,4.568,3.178,3.223,3.293,4.909,5.031,3.654,4.0281734696699e-05
4.229,3.967,3.122,3.315,3.245,4.055,3.972,3.19,1.00704336741748e-05
3.285,3.943,3.102,3.386,2.975,3.438,3.395,3.077,2.51760841854369e-06
3.539,3.223,3.164,3.469,3.401,3.383,3.221,3.255,6.29402104635922e-07
3.359,3.37,3.308,3.234,3.254,3.156,3.302,3.049,1.5735052615898e-07
3.222,3.243,3.264,3.259,3.158,3.527,3.442,3.17,3.93376315397451e-08
