"Reference1","Reference2","Control051","Control052","Infected101","Infected102","Infected103","Infected104","dilution"
11.134,10.192,4.77,5.016,4.716,6.425,6.642,10.389,0.164559363630632
10.833,10.466,3.497,3.657,3.399,4.615,4.608,10.543,0.0411398409076581
10.133,10.424,2.743,2.623,2.851,3.514,3.658,10.726,0.0102849602269145
9.713,9.034,2.28,2.517,2.448,2.699,2.775,10.336,0.00257124005672863
8.402,8.883,2.28,2.159,2.385,2.504,2.309,8.729,0.000642810014182157
7.346,6.447,2.221,2.408,2.372,2.264,2.283,7.664,0.000160702503545539
5.342,5.28,2.188,2.28,2.207,2.06,2.005,5.595,4.01756258863848e-05
3.215,3.417,2.185,2.347,2.18,2.391,2.263,3.564,1.00439064715962e-05
2.851,2.618,2.087,2.094,2.03,2.267,2.47,2.802,2.51097661789905e-06
2.628,2.536,2.01,2.13,2.116,1.991,2.036,2.586,6.27744154474763e-07
2.207,2.449,2.285,2.406,2.147,2.211,2.226,2.19,1.56936038618691e-07
2.341,2.09,2.116,2.379,2.185,2.023,2.279,2.192,3.92340096546727e-08
