"Reference1","Reference2","Control333","Control334","Infected665","Infected666","Infected667","Infected668","dilution"
6.228,6.569,3.182,2.99,6.318,5.935,4.81,6.235,0.143885775645048
6.414,6.679,2.33,2.027,6.378,6.126,3.528,6.329,0.035971443911262
6.321,6.249,1.901,1.793,5.962,6.019,2.521,5.942,0.00899286097781551
6.067,5.676,1.645,1.719,5.499,5.926,1.922,5.715,0.00224821524445388
5.286,5.233,1.584,1.605,4.622,5.225,1.777,5.129,0.000562053811113469
4.519,4.15,1.676,1.523,3.191,4.25,1.446,4.552,0.000140513452778367
3.171,2.856,1.61,1.571,2.295,2.89,1.636,3.45,3.51283631945918e-05
2.491,2.284,1.502,1.563,1.829,2.189,1.514,2.19,8.78209079864796e-06
1.832,1.729,1.677,1.499,1.59,1.857,1.528,1.913,2.19552269966199e-06
1.665,1.658,1.544,1.659,1.501,1.85,1.619,1.665,5.48880674915497e-07
1.599,1.542,1.592,1.458,1.566,1.713,1.674,1.651,1.37220168728874e-07
1.396,1.699,1.625,1.487,1.57,1.555,1.59,1.556,3.43050421822186e-08
