"Reference1","Reference2","Control247","Control248","Infected493","Infected494","Infected495","Infected496","dilution"
7.459,7.211,3.849,3.73,7.003,7.428,6.773,7.423,0.139605900125502
7.575,6.955,3.532,2.942,7.768,6.809,7.494,7.474,0.0349014750313754
6.809,6.898,2.737,2.749,7.304,6.612,7.053,7.356,0.00872536875784385
6.658,6.901,2.658,2.677,6.988,5.831,6.744,6.836,0.00218134218946096
5.87,6.261,2.761,2.384,6.304,4.787,6.506,5.876,0.000545335547365241
5.45,5.365,2.603,2.628,4.849,4.112,4.838,5.076,0.00013633388684131
4.083,4.049,2.78,2.676,3.66,3.129,4.245,4.075,3.40834717103275e-05
3.344,3.376,2.452,2.473,3.171,2.917,3.395,3.133,8.52086792758189e-06
2.759,2.728,2.418,2.765,2.598,2.647,2.634,2.986,2.13021698189547e-06
2.771,2.548,2.525,2.593,2.528,2.541,2.69,2.677,5.32554245473868e-07
2.756,2.752,2.517,2.484,2.58,2.823,2.473,2.518,1.33138561368467e-07
2.545,2.474,2.337,2.531,2.347,2.434,2.478,2.199,3.32846403421167e-08
