"Reference1","Reference2","Control023","Control024","Infected045","Infected046","Infected047","Infected048","dilution"
11.793,11.374,5.043,5.484,7.953,12.841,8.879,12.348,0.125095593232374
11.798,12,4.252,4.161,5.759,11.084,7.265,12.003,0.0312738983080934
11.498,10.366,3.697,3.39,4.467,11.317,5.088,11.435,0.00781847457702336
10.642,10.312,3.378,3.036,3.615,11.509,4.021,11.123,0.00195461864425584
9.653,9.825,3.282,2.989,3.369,9.654,3.51,9.211,0.00048865466106396
7.506,8.234,2.921,2.919,2.931,7.679,3.002,7.789,0.00012216366526599
5.817,5.642,2.99,2.782,3.212,6.012,2.963,6.115,3.05409163164975e-05
4.305,4.032,3.183,3.032,3.006,4.231,3.41,4.134,7.63522907912438e-06
3.639,3.4,2.983,3.016,2.918,3.31,3.041,3.783,1.90880726978109e-06
3.256,3.329,2.974,2.92,2.969,2.959,3.006,3.356,4.77201817445274e-07
2.954,2.854,3.235,3.055,2.999,2.86,2.895,3.004,1.19300454361318e-07
3.032,3.09,3.215,3.061,3.135,3.247,2.993,3.011,2.98251135903296e-08
