"Reference1","Reference2","Control295","Control296","Infected589","Infected590","Infected591","Infected592","dilution"
14.396,14.69,5.896,6.297,6.037,15.119,15.104,15.585,0.136411186932523
14.328,14.612,4.188,3.876,4.541,14.113,13.794,15.268,0.0341027967331306
15.205,13.505,3.443,3.008,3.202,14.199,13.892,14.08,0.00852569918328266
13.297,12.884,2.878,2.772,2.784,13.816,14.136,13.108,0.00213142479582067
11.401,11.492,2.562,2.6,2.603,11.244,11.782,12.401,0.000532856198955166
8.963,9.582,2.428,2.673,2.382,8.415,8.673,9.712,0.000133214049738792
5.814,7.507,2.223,2.557,2.253,5.606,5.988,6.549,3.33035124346979e-05
4.078,4.462,2.596,2.443,2.326,3.539,3.935,4.081,8.32587810867447e-06
3.031,3.129,2.322,2.435,2.412,3.051,3.007,3.272,2.08146952716862e-06
2.616,2.817,2.406,2.32,2.441,2.709,2.633,2.596,5.20367381792155e-07
2.433,2.562,2.494,2.535,2.335,2.554,2.55,2.533,1.30091845448039e-07
2.446,2.636,2.413,2.623,2.624,2.421,2.421,2.479,3.25229613620097e-08
