"Reference1","Reference2","Control195","Control196","Infected389","Infected390","Infected391","Infected392","dilution"
10.853,10.197,4.886,5.12,10.479,10.775,10.559,10.955,0.108734214672526
10.027,9.99,3.52,3.265,9.863,11.052,9.85,10.248,0.0271835536681315
9.794,10.721,2.885,2.874,10.399,9.656,9.561,10.399,0.00679588841703287
9.339,9.359,2.76,2.455,8.952,9.319,8.985,9.705,0.00169897210425822
7.906,8.065,2.601,2.752,8.205,7.779,7.551,8.447,0.000424743026064554
6.839,6.593,2.698,2.583,6.363,6.538,6.162,6.724,0.000106185756516139
4.714,4.478,2.623,2.505,4.896,4.446,4.275,5.454,2.65464391290346e-05
3.537,3.54,2.581,2.606,3.629,3.501,3.277,3.736,6.63660978225866e-06
2.992,2.812,2.569,2.619,2.887,2.958,2.735,3.042,1.65915244556467e-06
2.797,2.847,2.645,2.689,2.72,2.549,2.77,2.736,4.14788111391166e-07
2.803,2.659,2.577,2.347,2.716,2.429,2.559,2.696,1.03697027847792e-07
2.517,2.399,2.473,2.368,2.698,2.359,2.47,2.634,2.59242569619479e-08
