"Reference1","Reference2","Control133","Control134","Infected265","Infected266","Infected267","Infected268","dilution"
14.187,14.036,5.588,5.041,12.791,13.475,15.67,10.816,0.15327080218801
14.136,14.638,3.557,3.332,10.916,15.223,13.397,8.702,0.0383177005470025
13.991,13.944,2.749,2.672,7.887,13.627,13.274,5.195,0.00957942513675064
13.191,14.099,2.167,2.295,5.269,14.813,12.763,3.392,0.00239485628418766
11.21,11.948,2.012,1.972,3.612,13.232,11.431,2.492,0.000598714071046915
9.038,9.544,1.833,2.052,2.48,9.967,8.878,2.128,0.000149678517761729
5.323,6.284,1.778,1.924,2.028,7.35,6.285,1.76,3.74196294404322e-05
3.616,4.056,1.848,1.886,2.082,5.002,4.25,1.909,9.35490736010804e-06
2.28,2.782,1.912,1.786,1.863,2.875,2.851,1.798,2.33872684002701e-06
2.143,2.264,1.965,1.744,1.763,2.626,2.228,1.73,5.84681710006753e-07
1.997,2.048,1.833,1.85,1.925,2.069,1.839,1.921,1.46170427501688e-07
1.984,1.744,1.916,1.794,1.883,1.774,1.82,1.712,3.6542606875422e-08
