"Reference1","Reference2","Control313","Control314","Infected625","Infected626","Infected627","Infected628","dilution"
10.148,9.369,4.808,4.785,9.615,9.83,9.158,9.762,0.130851089600834
9.461,9.2,3.817,3.551,9.356,9.159,8.851,9.357,0.0327127724002084
8.941,9.35,3.425,3.081,9.274,9.317,8.685,9.095,0.00817819310005211
8.79,8.994,2.879,3.077,7.683,8.444,7.409,9.248,0.00204454827501303
7.551,8.361,3.07,2.962,6.434,7.751,5.734,8.263,0.000511137068753257
7.052,6.501,3.016,3.004,4.765,5.968,3.931,6.93,0.000127784267188314
4.934,5.187,2.995,2.809,4.352,4.752,3.483,4.935,3.19460667970786e-05
3.778,3.85,2.837,2.886,3.243,3.481,3.213,4.159,7.98651669926964e-06
3.188,3.237,2.952,2.839,3.127,3.285,2.726,3.346,1.99662917481741e-06
2.965,3.043,2.971,2.751,2.831,2.852,2.774,3.128,4.99157293704352e-07
3.165,2.765,2.92,2.599,2.914,2.788,2.579,2.785,1.24789323426088e-07
3.126,2.868,2.675,2.975,3.219,2.73,2.695,2.924,3.1197330856522e-08
