"Reference1","Reference2","Control219","Control220","Infected437","Infected438","Infected439","Infected440","dilution"
12.47,12.485,5.564,5.381,8.589,9.812,12.016,12.841,0.0938846874514897
11.841,12.343,4.478,4.453,6.23,7.868,10.782,12.148,0.0234711718628724
12.498,12.46,3.709,4.054,5.075,5.688,9.722,11.683,0.00586779296571811
11.163,11.304,3.326,3.96,4.102,4.407,7.209,10.345,0.00146694824142953
9.566,10,3.464,3.739,3.515,4.035,5.517,8.465,0.000366737060357382
8.15,8.199,3.786,3.453,3.546,3.601,4.637,5.885,9.16842650893454e-05
6.135,6.373,3.381,3.752,4.014,3.845,3.876,4.563,2.29210662723364e-05
4.732,4.195,3.144,3.447,3.449,3.25,3.549,4.062,5.73026656808409e-06
3.682,3.88,3.514,3.545,3.475,3.404,3.433,3.448,1.43256664202102e-06
3.714,3.705,3.739,3.366,3.516,3.74,3.504,3.511,3.58141660505256e-07
3.48,3.409,3.523,3.683,3.465,3.605,3.314,3.576,8.95354151263139e-08
3.672,3.51,3.884,3.443,3.211,3.795,3.392,3.579,2.23838537815785e-08
