"Reference1","Reference2","Control303","Control304","Infected605","Infected606","Infected607","Infected608","dilution"
9.089,9.864,4.4,4.886,4.193,9.18,4.527,9.073,0.115230974217523
9.595,9.554,3.472,3.493,3.465,9.107,3.403,9.131,0.0288077435543808
9.501,9.267,2.997,3.146,2.958,8.575,2.941,9.112,0.00720193588859521
8.193,9.077,2.946,2.62,2.872,7.803,2.816,9.229,0.0018004839721488
7.482,7.95,2.78,2.545,2.777,6.149,2.56,7.712,0.000450120993037201
6.305,6.279,2.879,2.66,2.672,4.066,2.802,6.725,0.0001125302482593
4.534,4.716,2.567,2.631,2.769,3.586,2.631,4.564,2.8132562064825e-05
3.279,3.31,2.674,2.704,2.727,3.079,2.598,3.757,7.03314051620626e-06
2.984,2.968,2.661,2.637,2.638,2.808,2.635,3.198,1.75828512905156e-06
2.752,2.961,2.552,2.713,2.774,2.586,2.661,2.829,4.39571282262891e-07
2.637,2.723,2.826,2.769,2.671,2.651,2.723,2.734,1.09892820565723e-07
2.691,2.704,2.819,2.831,2.712,2.805,2.697,2.553,2.74732051414307e-08
