"Reference1","Reference2","Control079","Control080","Infected157","Infected158","Infected159","Infected160","dilution"
12.588,14.334,5.743,5.634,12.982,13.815,13.526,12.458,0.142574119570621
13.482,13.233,4.068,3.805,13.112,12.771,13.903,11.25,0.0356435298926554
13.53,13.578,3.086,3.068,14.126,10.78,12.705,8.679,0.00891088247316384
12.355,13.194,2.655,2.615,12.933,9.248,11.785,5.768,0.00222772061829096
10.704,10.826,2.46,2.5,12.322,6.979,9.535,4.213,0.00055693015457274
8.527,8.537,2.312,2.393,8.78,4.308,6.53,3.016,0.000139232538643185
5.332,6.363,2.264,2.467,6.066,3.149,4.539,2.399,3.48081346607963e-05
3.783,3.944,2.422,2.267,4.123,2.631,3.265,2.415,8.70203366519907e-06
2.909,2.947,2.227,2.191,3.148,2.493,2.545,2.55,2.17550841629977e-06
2.508,2.76,2.373,2.442,2.58,2.497,2.442,2.323,5.43877104074942e-07
2.223,2.497,2.306,2.388,2.668,2.418,2.203,2.27,1.35969276018735e-07
2.45,2.251,2.327,2.197,2.341,2.501,2.415,2.259,3.39923190046839e-08
