"Reference1","Reference2","Control239","Control240","Infected477","Infected478","Infected479","Infected480","dilution"
11.229,10.976,5.01,5.269,10.912,11.1,10.96,12.107,0.116152093815029
11.77,10.859,3.666,3.666,9.788,11.259,11.648,11.531,0.0290380234537573
11.038,11.36,3.125,3.132,9.316,11.42,11.319,11.044,0.00725950586343933
10.692,10.092,2.712,2.826,6.615,10.296,10.1,10.362,0.00181487646585983
9.135,9.035,2.877,2.657,4.81,9.452,8.896,9.931,0.000453719116464958
7.172,7.779,2.765,2.543,3.628,8.065,6.84,7.714,0.00011342977911624
5.26,5.055,2.68,2.645,3.02,5.808,5.498,5.776,2.83574447790599e-05
3.913,3.873,2.768,2.52,2.912,4.425,3.604,3.883,7.08936119476497e-06
3.186,3.31,2.375,2.738,2.885,3.355,3.136,3.474,1.77234029869124e-06
2.694,2.921,2.569,2.792,2.934,3.183,2.845,2.853,4.43085074672811e-07
2.738,2.734,2.756,2.545,2.781,2.741,2.665,2.788,1.10771268668203e-07
2.686,2.743,2.516,2.53,2.639,2.402,2.462,2.694,2.76928171670507e-08
