"Reference1","Reference2","Control139","Control140","Infected277","Infected278","Infected279","Infected280","dilution"
8.46,8.198,3.94,4.077,8.289,7.847,7.925,4.084,0.121135357668484
8.211,7.968,3.034,3.021,7.866,7.689,7.061,3.176,0.030283839417121
8.32,7.666,2.564,2.594,8.178,5.882,7.082,2.56,0.00757095985428026
8.393,7.635,2.322,2.495,7.918,4.779,4.964,2.392,0.00189273996357006
6.72,7.249,2.159,2.36,6.917,3.422,3.856,2.367,0.000473184990892516
5.863,5.462,2.2,2.053,5.502,2.782,2.812,2.163,0.000118296247723129
3.863,4.079,1.996,2.209,4.216,2.611,2.366,2.295,2.95740619307823e-05
3.085,3.153,2.195,2.142,3.004,2.361,2.403,2.067,7.39351548269556e-06
2.484,2.498,2.181,2.172,2.648,2.395,2.426,2.208,1.84837887067389e-06
2.311,2.308,2.334,2.294,2.342,2.183,2.172,2.29,4.62094717668473e-07
2.261,2.267,2.069,2.268,2.341,2.151,2.309,2.135,1.15523679417118e-07
2.355,2.135,2.176,2.202,2.107,2.161,2.207,2.304,2.88809198542795e-08
