"Reference1","Reference2","Control067","Control068","Infected133","Infected134","Infected135","Infected136","dilution"
11.75,12.568,4.895,4.933,11.673,11.021,4.987,11.659,0.141421164220213
11.645,11.917,3.72,3.808,11.618,12.251,3.467,11.942,0.0353552910550533
11.255,11.357,2.799,2.85,11.351,12.047,2.819,11.963,0.00883882276376332
11.216,10.586,2.659,2.572,10.32,10.676,2.408,10.409,0.00220970569094083
9.564,10.214,2.439,2.302,9.495,9.511,2.364,9.409,0.000552426422735208
7.23,7.734,2.325,2.316,7.446,7.271,2.397,7.572,0.000138106605683802
5.384,4.898,2.393,2.434,5.784,5.072,2.2,5.534,3.45266514209505e-05
3.727,3.918,2.315,2.405,3.606,4.167,2.474,3.737,8.63166285523762e-06
2.805,2.839,2.244,2.259,2.683,3.189,2.198,2.865,2.1579157138094e-06
2.379,2.636,2.291,2.123,2.41,2.545,2.167,2.603,5.39478928452351e-07
2.271,2.366,2.207,2.285,2.588,2.304,2.356,2.359,1.34869732113088e-07
2.312,2.481,2.2,2.358,2.572,2.384,2.525,2.562,3.3717433028272e-08
