"Reference1","Reference2","Control257","Control258","Infected513","Infected514","Infected515","Infected516","dilution"
7.961,8.226,3.595,3.675,8.183,8.25,8.064,8.122,0.111337883251348
7.833,7.871,2.816,2.625,7.578,8.027,8.265,8.025,0.027834470812837
8.146,8.086,1.946,2.104,7.476,7.725,7.984,7.471,0.00695861770320926
7.684,7.029,2.081,2.05,6.882,7.708,6.8,6.17,0.00173965442580232
6.331,6.72,1.915,1.803,5.331,6.249,5.611,4.733,0.000434913606450579
5.02,5.376,1.813,2.035,3.847,4.316,4.388,3.469,0.000108728401612645
3.681,4.056,1.808,1.823,2.836,3.549,3.069,2.478,2.71821004031612e-05
2.741,2.599,1.863,1.923,2.237,2.604,2.474,2.296,6.7955251007903e-06
2.335,2.236,1.944,1.881,2.076,2.091,2.023,1.994,1.69888127519757e-06
2.106,2.147,1.776,1.832,1.933,1.944,2.221,1.645,4.24720318799393e-07
1.815,1.982,1.808,1.797,1.979,1.866,1.889,1.975,1.06180079699848e-07
2.037,1.903,1.814,1.752,1.759,1.989,1.801,1.883,2.65450199249621e-08
