"Reference1","Reference2","Control203","Control204","Infected405","Infected406","Infected407","Infected408","dilution"
17.195,17.795,8.421,8.025,18.418,18.999,18.29,18.808,0.171268024607601
19.106,19.63,5.17,5.64,17.936,17.849,18.708,18.072,0.0428170061519002
18.642,18.231,4.03,3.855,19.296,17.729,19.333,18.304,0.0107042515379751
17.846,17.47,3.126,3.365,17.561,16.886,17.504,17.379,0.00267606288449376
15.914,15.194,3.071,3.226,16.168,16.091,16.7,15,0.000669015721123441
13.747,12.13,2.935,3.188,12.166,12.86,13.775,12.379,0.00016725393028086
9.042,8.017,3.034,2.989,8.15,9.008,9.747,9.766,4.18134825702151e-05
6.043,5.812,2.327,3.056,5.948,5.52,6.327,6.122,1.04533706425538e-05
4.167,4.25,3.11,2.984,3.921,4.207,4.372,4.206,2.61334266063844e-06
3.643,3.261,2.74,2.831,3.466,3.432,3.264,3.368,6.5333566515961e-07
3.236,2.997,3.289,2.786,3.333,3.335,3.286,3.109,1.63333916289903e-07
3.362,3.076,3.283,2.838,2.944,2.987,2.927,3.05,4.08334790724757e-08
