"Reference1","Reference2","Control101","Control102","Infected201","Infected202","Infected203","Infected204","dilution"
11.859,12.316,5.12,5.004,12.454,5.519,10.92,10.301,0.137571073988442
12.434,11.499,3.664,3.388,12.629,3.047,10.628,7.649,0.0343927684971105
12.39,11.621,2.963,2.58,11.66,2.689,8.544,4.881,0.00859819212427762
11.76,11.036,2.453,2.445,10.796,2.472,5.519,3.807,0.0021495480310694
9.777,9.727,2.158,2.265,10.336,2.153,4.246,2.587,0.000537387007767351
7.44,7.996,2.34,2.044,7.109,2.297,3.205,2.361,0.000134346751941838
5.614,4.902,2.031,2.24,5.113,2.001,2.6,2.333,3.35866879854594e-05
3.561,3.7,2.032,2.156,3.507,2.281,2.338,2.256,8.39667199636486e-06
2.66,2.601,2.088,2.217,2.873,2.216,2.16,2.07,2.09916799909121e-06
2.428,2.323,2.117,1.953,2.322,2.193,2.141,2.059,5.24791999772804e-07
2.169,2.211,2.346,2.317,2.13,2.108,2.109,2.306,1.31197999943201e-07
2.508,1.974,2.157,2.111,2.189,2.287,2.127,2.08,3.27994999858002e-08
