"Reference1","Reference2","Control029","Control030","Infected057","Infected058","Infected059","Infected060","dilution"
11.093,10.799,3.668,3.75,11.803,8.334,8.848,10.266,0.0826477589732416
10.733,10.513,2.841,2.989,9.922,8.012,8.254,9.479,0.0206619397433104
9.345,8.997,2.817,2.72,9.136,6.108,6.875,8.421,0.0051654849358276
8.411,7.834,2.605,2.48,8.125,4.913,5.148,7.231,0.0012913712339569
6.821,6.939,2.518,2.482,7.226,3.615,3.833,5.859,0.000322842808489225
5.37,5.616,2.437,2.449,5.524,3.046,3.177,4.36,8.07107021223063e-05
4.033,4.217,2.408,2.538,4.225,2.579,2.601,3.442,2.01776755305766e-05
3.081,2.981,2.483,2.474,3.177,2.665,2.609,2.923,5.04441888264414e-06
2.851,2.851,2.616,2.468,2.738,2.436,2.428,2.456,1.26110472066104e-06
2.672,2.732,2.527,2.58,2.696,2.542,2.403,2.53,3.15276180165259e-07
2.326,2.441,2.521,2.419,2.595,2.45,2.438,2.653,7.88190450413147e-08
2.406,2.507,2.458,2.371,2.396,2.298,2.361,2.54,1.97047612603287e-08
