"Reference1","Reference2","Control211","Control212","Infected421","Infected422","Infected423","Infected424","dilution"
3.979,3.911,2.224,2.444,3.717,3.884,3.897,3.874,0.142394267587147
3.712,3.626,2.059,1.998,3.253,3.66,3.728,3.63,0.0355985668967869
3.515,3.33,2.019,2.2,3.351,3.328,3.358,3.486,0.00889964172419672
3.286,3.197,1.934,1.986,3.074,3.396,3.429,3.275,0.00222491043104918
2.885,3.038,2.039,1.83,2.594,2.966,2.932,2.943,0.000556227607762295
2.663,2.732,1.861,1.808,2.644,2.715,2.645,2.85,0.000139056901940574
2.355,2.406,2.025,2.032,2.217,2.437,2.167,2.26,3.47642254851434e-05
2.149,2.109,2.189,1.926,2.057,2.085,2.3,2.063,8.69105637128586e-06
2.022,2.095,1.92,1.985,2.035,2.059,2.009,2.023,2.17276409282146e-06
2.046,2.081,1.935,1.914,1.986,2.013,2.079,1.974,5.43191023205366e-07
1.897,1.962,1.97,1.882,2.078,1.941,1.829,2.105,1.35797755801342e-07
2.158,2.088,1.959,2.051,1.94,2.009,1.965,1.862,3.39494389503354e-08
