"Reference1","Reference2","Control099","Control100","Infected197","Infected198","Infected199","Infected200","dilution"
7.528,8.004,3.188,3.173,7.574,4.859,7.8,6.344,0.0796965835627637
7.204,7.112,2.624,2.717,7.203,4.066,7.335,5.995,0.0199241458906909
6.563,6.197,2.838,2.49,6.724,3.331,6.358,5.101,0.00498103647267273
5.875,5.619,2.582,2.654,5.895,2.669,5.694,4.201,0.00124525911816818
4.872,5.135,2.537,2.598,5.195,2.322,5.231,3.534,0.000311314779542046
4.047,4.223,2.59,2.705,4.17,2.732,4.193,2.883,7.78286948855114e-05
3.335,3.395,2.522,2.461,3.681,2.462,3.448,2.603,1.94571737213778e-05
2.866,2.778,2.708,2.466,2.864,2.512,2.866,2.587,4.86429343034446e-06
2.637,2.679,2.365,2.595,2.585,2.617,2.754,2.382,1.21607335758612e-06
2.695,2.673,2.445,2.442,2.481,2.648,2.574,2.503,3.04018339396529e-07
2.472,2.415,2.628,2.569,2.755,2.425,2.755,2.705,7.60045848491322e-08
2.419,2.36,2.576,2.413,2.496,2.426,2.614,2.577,1.90011462122831e-08
