"Reference1","Reference2","Control045","Control046","Infected089","Infected090","Infected091","Infected092","dilution"
17.552,16.332,5.052,5.11,16.238,17.346,17.431,12.306,0.134908167421618
14.64,15.967,3.75,3.592,15.315,14.551,15.669,12.368,0.0337270418554045
13.11,14.321,2.835,2.825,12.377,13.202,14.06,9.586,0.00843176046385112
10.469,11.8,2.494,2.493,11.173,11.828,11.652,7.392,0.00210794011596278
9.76,9.974,2.428,2.548,9.778,9.371,10.305,5.166,0.000526985028990695
7.738,7.462,2.361,2.414,7.377,7.635,7.245,3.897,0.000131746257247674
5.143,5.202,2.285,2.584,5.164,5.412,5.185,3.066,3.29365643119185e-05
3.979,3.746,2.529,2.456,3.782,3.721,3.763,2.727,8.23414107797961e-06
3.06,3.189,2.253,2.272,2.903,2.933,2.917,2.554,2.0585352694949e-06
2.483,2.638,2.249,2.107,2.593,2.382,2.592,2.593,5.14633817373726e-07
2.559,2.658,2.314,2.465,2.636,2.578,2.514,2.504,1.28658454343431e-07
2.581,2.461,2.323,2.301,2.484,2.16,2.408,2.492,3.21646135858579e-08
