"Reference1","Reference2","Control201","Control202","Infected401","Infected402","Infected403","Infected404","dilution"
4.113,4.406,2.61,2.554,3.685,4.055,2.766,2.715,0.141903282277075
4.179,4.026,2.313,2.494,3.669,3.599,2.576,2.264,0.0354758205692687
3.817,3.963,2.216,2.318,3.409,3.506,2.228,2.27,0.00886895514231718
3.528,3.532,2.215,2.235,3.221,3.085,2.463,2.34,0.0022172387855793
3.269,3.172,2.524,2.177,2.93,2.756,2.229,2.495,0.000554309696394824
3.021,3.186,2.312,2.362,2.541,2.658,2.109,2.227,0.000138577424098706
2.88,2.598,2.23,2.188,2.459,2.302,2.118,2.135,3.46443560246765e-05
2.37,2.694,2.476,2.42,2.437,2.174,2.105,2.124,8.66108900616912e-06
2.265,2.44,2.255,2.313,2.392,2.134,2.432,2.465,2.16527225154228e-06
2.236,2.37,2.325,2.172,2.234,2.322,2.312,2.146,5.4131806288557e-07
2.03,2.324,2.103,2.321,2.163,2.188,2.208,2.361,1.35329515721393e-07
2.204,2.177,2.289,2.508,2.132,2.096,2.244,2.251,3.38323789303481e-08
