"Reference1","Reference2","Control081","Control082","Infected161","Infected162","Infected163","Infected164","dilution"
8.976,8.545,3.335,3.191,8.235,4.175,3.784,6.179,0.137036588770699
7.667,7.131,2.415,2.562,7.42,3.26,3.044,5.709,0.0342591471926747
6.697,6.674,2.116,2.12,6.787,2.38,2.371,4.789,0.00856478679816868
6.213,5.875,2.109,1.954,6.404,2.108,2.271,3.717,0.00214119669954217
5.286,5.271,1.963,2.009,5.128,1.84,1.936,2.942,0.000535299174885543
4.047,4.37,1.824,1.947,4.24,1.637,1.984,2.225,0.000133824793721386
3.126,3.261,1.695,1.918,3.248,1.596,2.084,1.98,3.34561984303464e-05
2.538,2.412,1.917,1.85,2.703,1.941,1.923,1.727,8.3640496075866e-06
2.063,1.992,1.923,1.954,2.195,1.713,1.866,1.903,2.09101240189665e-06
1.999,1.823,1.839,1.857,2.032,1.922,1.861,1.909,5.22753100474163e-07
1.782,1.906,2.003,1.899,1.986,1.612,1.873,1.871,1.30688275118541e-07
1.835,1.895,1.926,1.735,1.934,1.893,1.937,1.849,3.26720687796352e-08
