"Reference1","Reference2","Control177","Control178","Infected353","Infected354","Infected355","Infected356","dilution"
7.605,8.003,3.248,3.135,8.275,6.884,5.567,6.309,0.134054375015407
7.215,7.375,2.391,2.584,7.05,5.994,4.54,5.535,0.0335135937538518
6.793,6.454,2.16,2.337,6.422,5.329,3.802,5.262,0.00837839843846296
5.766,6.098,2.177,2.274,6.138,4.534,2.891,4.404,0.00209459960961574
5.299,5.315,1.964,2.246,5.035,3.471,2.593,3.165,0.000523649902403935
4.143,4.302,2.143,2.217,4.113,2.893,2.16,2.599,0.000130912475600984
3.451,3.561,1.864,2.028,3.366,2.371,2.319,2.256,3.27281189002459e-05
2.566,2.661,1.802,2.121,2.573,2.388,2.173,2.124,8.18202972506148e-06
2.485,2.456,2.211,2.077,2.309,2.102,1.971,1.975,2.04550743126537e-06
2.21,2.333,2.036,2.152,2.328,2.052,1.975,2.073,5.11376857816343e-07
2.072,2.157,2.07,2.105,2.003,2.135,2.159,2.117,1.27844214454086e-07
2.037,2.094,2.104,2.085,1.923,2.113,2.02,2.229,3.19610536135214e-08
