"Reference1","Reference2","Control105","Control106","Infected209","Infected210","Infected211","Infected212","dilution"
10.998,10.536,4.44,4.301,9.696,10.953,7.922,10.441,0.136297278307155
9.81,9.735,3.592,3.575,8.84,9.905,7.344,8.526,0.0340743195767887
8.679,8.833,3.311,3.168,7.815,8.365,6.335,8.322,0.00851857989419718
7.478,7.589,2.929,3.129,6.952,8.109,5.29,7.647,0.00212964497354929
6.717,6.632,2.76,2.879,5.629,7.295,3.786,6.526,0.000532411243387324
5.67,5.754,2.895,2.786,4.686,5.906,3.472,5.769,0.000133102810846831
4.635,4.255,3.029,2.803,3.727,4.864,3.098,4.131,3.32757027117077e-05
3.884,3.583,2.968,2.735,3.508,3.737,2.734,3.455,8.31892567792693e-06
3.043,3.334,2.699,2.739,3.003,3.325,3.063,2.992,2.07973141948173e-06
3.167,2.635,2.774,2.986,2.964,3.187,2.937,2.645,5.19932854870433e-07
3.2,3.043,2.793,2.94,3.042,2.931,3.051,2.974,1.29983213717608e-07
3.023,3.081,2.903,2.699,3.04,2.785,2.431,3.138,3.24958034294021e-08
