"Reference1","Reference2","Control061","Control062","Infected121","Infected122","Infected123","Infected124","dilution"
8.266,8.122,3.757,3.862,8.478,6.469,4.181,8.4,0.13560135150097
7.823,7.891,3.241,3.025,7.436,5.674,3.478,7.901,0.0339003378752426
7.105,6.905,2.992,2.747,6.853,5.129,2.838,6.781,0.00847508446881065
6.712,6.725,2.481,2.827,6.335,3.857,2.636,6.193,0.00211877111720266
5.513,6.004,2.512,2.684,5.54,3.381,2.451,5.392,0.000529692779300666
4.505,4.749,2.488,2.79,4.742,2.953,2.485,4.327,0.000132423194825166
3.863,3.857,2.823,2.482,3.751,2.887,2.387,3.618,3.31057987062916e-05
3.264,3.111,2.662,2.698,3.192,2.418,2.622,2.988,8.2764496765729e-06
2.979,2.775,2.54,2.591,3.172,2.62,2.589,2.848,2.06911241914322e-06
2.8,2.802,2.471,2.782,2.849,2.718,2.543,2.602,5.17278104785806e-07
2.706,2.605,2.472,2.425,2.461,2.659,2.544,2.62,1.29319526196452e-07
2.894,2.849,2.635,2.681,2.551,2.625,2.862,2.729,3.23298815491129e-08
