"Reference1","Reference2","Control005","Control006","Infected009","Infected010","Infected011","Infected012","dilution"
9.052,8.801,4.048,4.345,9.173,8.362,8.985,8.611,0.10284857485296
8.128,8.196,3.66,3.731,7.711,8.318,7.985,7.941,0.0257121437132399
7.144,7.448,3.427,3.319,7.506,7.523,7.169,7.115,0.00642803592830997
6.942,7.011,3.08,3.287,6.4,6.532,7.255,6.911,0.00160700898207749
5.624,6.295,3.562,3.243,6.418,6.007,6.13,5.76,0.000401752245519373
5.292,5.233,3.281,3.342,5.012,4.832,5.427,4.985,0.000100438061379843
4.243,3.902,3.163,3.173,4.357,4.271,4.527,4.268,2.51095153449608e-05
3.77,3.757,2.902,3.126,3.767,3.525,4.1,3.757,6.2773788362402e-06
3.346,3.177,2.939,3.34,3.208,3.425,3.522,3.046,1.56934470906005e-06
3.278,3.26,3.316,3.048,3.073,3.185,3.223,3.177,3.92336177265013e-07
3.131,3.169,3.399,3.241,3.048,3.207,3.31,3.164,9.80840443162532e-08
2.904,3.437,3.259,2.956,3.333,3.45,3.292,3.196,2.45210110790633e-08
