"Reference1","Reference2","Control221","Control222","Infected441","Infected442","Infected443","Infected444","dilution"
12.349,12.554,4.392,4.332,13.544,4.332,10.729,6.49,0.0858427158217097
11.197,10.719,3.216,3.194,10.94,3.313,9.416,4.911,0.0214606789554274
10.258,10.251,2.811,2.884,10.268,2.79,8.146,3.873,0.00536516973885686
8.376,8.737,2.782,2.713,9.117,2.385,7.048,3.079,0.00134129243471421
7.873,7.585,2.585,2.603,7.824,2.869,4.599,2.923,0.000335323108678553
5.936,6.024,2.607,2.37,5.831,2.454,3.585,2.72,8.38307771696384e-05
4.111,4.19,2.758,2.48,4.599,2.555,3.043,2.551,2.09576942924096e-05
3.293,3.317,2.783,2.632,3.401,2.483,2.864,2.621,5.2394235731024e-06
2.77,3.092,2.468,2.42,3.214,2.415,2.56,2.635,1.3098558932756e-06
2.463,2.796,2.534,2.55,2.78,2.848,2.483,2.513,3.274639733189e-07
2.523,2.653,2.376,2.614,2.492,2.41,2.533,2.656,8.1865993329725e-08
2.583,2.554,2.532,2.367,2.53,2.464,2.545,2.325,2.04664983324312e-08
