"Reference1","Reference2","Control119","Control120","Infected237","Infected238","Infected239","Infected240","dilution"
15.977,16.107,5.092,4.982,12.889,15.176,10.707,15.636,0.129121558032232
13.753,13.368,3.573,3.778,11.068,13.317,9.013,13.634,0.032280389508058
12.042,12.027,3.037,3.235,10.053,11.456,7.58,12.004,0.00807009737701449
11.354,10.21,2.807,2.976,7.916,11.266,5.794,10.872,0.00201752434425362
9.745,9.408,2.825,2.581,6.114,8.725,3.73,9.031,0.000504381086063406
7.836,7.296,2.667,2.439,4.014,6.376,3.391,7.138,0.000126095271515851
5.512,5.385,2.377,2.731,3.318,5.307,2.88,5.162,3.15238178789629e-05
4.182,3.83,2.57,2.476,2.715,3.618,2.862,3.797,7.88095446974072e-06
3.15,3.324,2.7,2.722,2.806,3.253,2.824,3.256,1.97023861743518e-06
2.955,2.8,2.538,2.903,2.639,2.72,2.738,2.9,4.92559654358795e-07
2.658,2.679,2.74,2.813,2.769,2.761,2.551,2.631,1.23139913589699e-07
2.863,2.744,2.65,2.636,2.578,2.881,2.936,2.712,3.07849783974247e-08
