"Reference1","Reference2","Control171","Control172","Infected341","Infected342","Infected343","Infected344","dilution"
8.078,8.15,3.267,3.421,8.435,4.499,7.825,7.757,0.0919833212811849
7.318,7.975,2.868,3.119,7.73,3.293,7.302,7.315,0.0229958303202962
6.74,6.568,2.687,2.644,6.94,2.689,6.793,6.701,0.00574895758007405
6.492,6.539,2.527,2.911,6.386,2.863,5.855,6.062,0.00143723939501851
5.281,5.142,2.624,2.467,5.795,2.572,4.855,5.01,0.000359309848754628
4.616,4.712,2.516,2.519,4.516,2.718,4.447,4.084,8.98274621886571e-05
3.474,3.607,2.279,2.53,4.001,2.513,3.37,3.322,2.24568655471643e-05
3.073,3.064,2.616,2.513,3.073,2.467,2.84,2.916,5.61421638679107e-06
2.666,2.527,2.34,2.597,2.913,2.491,2.814,2.732,1.40355409669777e-06
2.416,2.672,2.633,2.64,2.569,2.484,2.355,2.573,3.50888524174442e-07
2.34,2.465,2.371,2.439,2.427,2.5,2.481,2.47,8.77221310436104e-08
2.527,2.606,2.486,2.609,2.45,2.644,2.497,2.317,2.19305327609026e-08
