"Reference1","Reference2","Control069","Control070","Infected137","Infected138","Infected139","Infected140","dilution"
12.733,12.558,4.582,4.539,13.775,12.459,7.402,11.811,0.133334953288283
11.819,11.924,3.441,3.677,11.912,11.781,6.158,10.646,0.0333337383220708
10.709,10.735,3.022,2.937,10.558,10.522,4.968,9.201,0.0083334345805177
9.238,9.586,2.67,2.644,9.156,9.019,3.59,8.358,0.00208335864512943
7.47,8.232,2.561,2.568,7.832,8.169,3.177,6.873,0.000520839661282356
6.624,6.368,2.618,2.506,6.476,5.877,2.653,4.774,0.000130209915320589
4.815,4.902,2.72,2.536,4.384,4.556,2.696,3.708,3.25524788301473e-05
3.767,3.6,2.479,2.628,3.482,3.369,2.307,3.001,8.13811970753682e-06
2.967,3.094,2.532,2.545,2.994,3.03,2.589,2.801,2.0345299268842e-06
2.657,2.747,2.859,2.586,2.794,2.821,2.492,2.406,5.08632481721051e-07
2.457,2.425,2.671,2.705,2.528,2.41,2.416,2.934,1.27158120430263e-07
2.435,2.424,2.574,2.483,2.543,2.58,2.653,2.769,3.17895301075657e-08
