"Reference1","Reference2","C023","C024","I045","I046","I047","I048","dilution"
7.048,7.353,3.277,3.387,5.479,3.451,6.925,6.088,0.115952049252987
6.802,7.097,2.438,2.708,4.898,2.764,6.624,5.219,0.0289880123132468
6.54,6.544,2.374,2.383,3.742,2.313,6.002,3.635,0.00724700307831169
6.53,5.724,2.162,2.149,2.803,2.175,4.761,2.823,0.00181175076957792
5.913,5.696,2.207,1.816,2.357,2.082,3.568,2.614,0.000452937692394481
4.655,4.566,2.399,2.098,2.136,2.184,2.708,2.138,0.00011323442309862
3.871,3.351,1.951,2.008,2.064,2.049,2.261,2.362,2.8308605774655e-05
2.93,2.711,2.227,2.139,2.158,2.143,2.198,2.092,7.07715144366376e-06
2.197,2.251,2.099,2.03,1.962,2.015,2.206,2.221,1.76928786091594e-06
2.175,2.349,2.139,2.009,2.046,2.107,2.155,2.217,4.42321965228985e-07
2.201,2.135,1.938,2.15,2.17,2.157,2.141,2.082,1.10580491307246e-07
2.176,2.088,2.207,2.076,2.032,2.107,2.133,2.041,2.76451228268116e-08
