file_name.x	Date	Lab	Plate	background_mean	background_SD	threshold	Reference1_val	Reference1_titre	Reference2_val	Reference2_titre	Control1_val	Control1_titre	Control2_val	Control2_titre	Infected1_val	Infected1_titre	Infected2_val	Infected2_titre	Infected3_val	Infected3_titre	Infected4_val	Infected4_titre	file_name.y
2023-01-11 plate_1.csv	2023-01-11	Demengeot	plate_1	2.2415	0.09982413106487407	2.441148262129748	2.666	4.01472198177743e-7	2.5	4.01472198177743e-7	2.619	0.00657772049494414	2.521	0.00164443012373603	2.588	0.00164443012373603	2.694	2.56942206833755e-5	2.547	2.56942206833755e-5	2.566	1.60588879271097e-6	2023-01-11 plate_1
2023-01-11 plate_2.csv	2023-01-11	Demengeot	plate_2	2.5395	0.09470103333272399	2.728902066665448	2.946	1.44015808837283e-6	2.898	1.44015808837283e-6	3.566	0.0235955501199004	2.869	0.0058988875299751	3.487	0.00147472188249377	2.817	3.68680470623444e-4	3.649	0.0235955501199004	2.745	0.0058988875299751	2023-01-11 plate_2
2023-01-11 plate_3.csv	2023-01-11	Demengeot	plate_3	2.251125	0.12224499697621276	2.4956149939524255	2.933	1.91250076834429e-6	2.526	4.78125192086074e-7	2.521	0.00195840078678456	2.598	0.00783360314713823	2.578	0.00195840078678456	3.179	0.00195840078678456	2.747	0.00783360314713823	2.62	1.19531298021518e-7	2023-01-11 plate_3
2023-01-11 plate_4.csv	2023-01-11	Demengeot	plate_4	2.2775	0.05274195944136206	2.382983918882724	2.475	2.15509800582741e-6	2.479	2.15509800582741e-6	2.624	0.00882728143186908	2.541	0.00882728143186908	2.464	8.62039202330965e-6	2.517	8.62039202330965e-6	2.632	0.00220682035796727	2.416	1.37926272372954e-4	2023-01-11 plate_4
2023-01-11 plate_5.csv	2023-01-11	Demengeot	plate_5	1.349875	0.10961939022949231	1.5691137804589845	1.581	4.72157124889476e-7	1.969	1.8886284995579e-6	1.79	0.00773582233418917	1.886	0.00773582233418917	1.702	3.02180559929265e-5	1.672	3.02180559929265e-5	1.767	0.00773582233418917	1.638	4.72157124889476e-7	2023-01-11 plate_5
2023-01-17 plate_1.csv	2023-01-17	Demengeot	plate_1	2.174375	0.07474707352130926	2.3238691470426183	2.338	1.86758651928455e-7	2.394	7.47034607713819e-7	2.432	0.0122394150127832	2.455	0.0122394150127832	2.891	7.6496343829895e-4	2.605	0.0122394150127832	2.597	0.0122394150127832	2.324	0.0030598537531958	2023-01-17 plate_1
2023-01-17 plate_2.csv	2023-01-17	Demengeot	plate_2	1.808875	0.09534963854901901	1.999574277098038	2.146	5.83455133403916e-7	2.26	5.83455133403916e-7	2.06	0.00238983222642244	2.135	0.00238983222642244	2.259	1.49364514151402e-4	2.044	5.83455133403916e-7	2.117	0.00238983222642244	2.256	3.73411285378506e-5	2023-01-17 plate_2
2023-01-17 plate_3.csv	2023-01-17	Demengeot	plate_3	2.51525	0.13858751747542053	2.792425034950841	2.813	3.27826643399385e-7	3.023	1.31130657359754e-6	2.795	0.00537111172545553	3.042	0.00537111172545553	2.93	0.00537111172545553	2.861	0.00537111172545553	3.432	5.24522629439016e-6	2.864	0.00537111172545553	2023-01-17 plate_3
2023-01-17 plate_4.csv	2023-01-17	Demengeot	plate_4	1.75275	0.0745879155283022	1.9019258310566045	2.389	2.09522689595139e-6	1.964	1.30951680996962e-7	2.053	0.00214551234145422	1.991	0.00214551234145422	1.902	0.00214551234145422	1.933	2.09522689595139e-6	1.968	5.23806723987848e-7	1.907	2.09522689595139e-6	2023-01-17 plate_4
2023-01-17 plate_5.csv	2023-01-17	Demengeot	plate_5	2.316	0.1214260503939978	2.5588521007879956	2.592	1.08047539036618e-7	3.033	1.72876062458589e-6	2.666	6.91504249834354e-6	2.616	1.10640679973497e-4	2.732	0.00708100351830379	2.66	2.76601699933742e-5	2.653	1.72876062458589e-6	3.402	0.0283240140732152	2023-01-17 plate_5
2023-01-17 plate_6.csv	2023-01-17	Demengeot	plate_6	2.3725	0.06501428414477191	2.5025285682895437	2.572	7.244401798385e-8	2.843	1.1591042877416e-6	2.531	2.9673069766185e-4	2.635	0.0011869227906474	2.55	4.6364171509664e-6	2.687	7.244401798385e-8	2.659	7.244401798385e-8	2.578	7.244401798385e-8	2023-01-17 plate_6
2023-01-24 plate_1.csv	2023-01-24	Demengeot	plate_1	1.84025	0.06581738806294708	1.9718847761258942	1.978	3.89321073108652e-7	1.978	3.89321073108652e-7	2.024	3.9866477886326e-4	1.981	3.89321073108652e-7	2.056	0.00159465911545304	2.178	0.00637863646181216	2.104	0.00637863646181216	2.053	2.49165486789537e-5	2023-01-24 plate_1
2023-01-24 plate_2.csv	2023-01-24	Demengeot	plate_2	1.537875	0.06689317176342759	1.6716613435268552	2.258	2.29240957827935e-6	1.742	5.73102394569838e-7	1.703	0.00234742740815806	1.805	0.00234742740815806	1.762	1.46714213009878e-4	1.746	3.66785532524696e-5	1.699	1.46714213009878e-4	1.757	3.66785532524696e-5	2023-01-24 plate_2
